id,partitive,strengthSome,subjecthood,infoStatus,logSentenceLength
176651:43,yes,5.7,0,new,2.63905732961526
108182:30,no,5.4,0,med,2.56494935746154
20718:26,no,6.4,0,new,2.89037175789616
18335:127,no,5,0,med,3.43398720448515
88808:43,no,5.9,0,med,2.70805020110221
148561:14,no,4.8,1,med,1.6094379124341
176908:22,no,6.5,0,new,2.484906649788
34501:47,no,6.3,0,med,3.17805383034795
1686:32,no,6.3,0,new,2.30258509299405
9196:49,yes,5.4,0,med,2.99573227355399
24580:124,no,4.8,1,med,3.52636052461616
68658:113,no,5.4,0,med,3.43398720448515
16209:29,no,5.5,0,new,2.39789527279837
112844:32,no,6.4,0,med,2.89037175789616
99256:38,yes,5.5,0,med,3.09104245335832
89238:15,no,6.4,0,new,1.94591014905531
86088:57,yes,5.9,0,med,3.76120011569356
112290:7,yes,4.5,1,old,1.38629436111989
145433:59,no,6.3,0,med,2.89037175789616
77398:5,yes,5.1,1,med,3.36729582998647
102781:19,no,6.8,0,new,2.19722457733622
80692:12,no,5.7,0,new,2.07944154167984
4490:19,no,6.4,0,med,2.77258872223978
176346:41,no,6.9,0,med,2.56494935746154
163367:85,no,6.3,0,new,3.43398720448515
134426:32,no,6.4,0,med,2.94443897916644
53223:87,no,6.3,0,med,3.2188758248682
36420:35,yes,4,0,med,2.56494935746154
95199:151,no,6.1,0,med,3.76120011569356
114255:29,no,6.6,0,new,1.94591014905531
140052:14,no,6.9,0,new,1.79175946922805
155121:37,no,6.4,0,new,2.89037175789616
56319:15,no,6.4,0,med,2.19722457733622
120254:15,no,6.1,0,med,2.63905732961526
99947:44,no,5.7,0,new,2.56494935746154
103563:4,no,4.6,1,med,2.89037175789616
35674:45,no,6.5,0,med,3.61091791264422
140964:11,no,6.5,0,new,1.79175946922805
47593:18,no,6.4,0,med,1.94591014905531
54511:40,no,6.4,0,new,2.19722457733622
38844:23,no,5.5,0,new,2.39789527279837
72387:13,yes,6.2,0,new,3.04452243772342
15535:31,no,6.3,0,new,2.39789527279837
91704:14,no,6.4,0,new,3.36729582998647
29385:35,no,6.3,0,med,2.39789527279837
165513:41,yes,4.8,0,new,3.13549421592915
5156:27,no,6.4,0,new,2.83321334405622
71923:26,no,6,0,new,2.30258509299405
1177:17,yes,4.4,0,old,1.79175946922805
109067:60,no,6.3,0,new,2.94443897916644
8885:15,yes,5.9,0,med,2.56494935746154
102431:45,no,6.4,0,med,3.8286413964891
57403:47,no,6.7,0,med,2.70805020110221
88674:10,no,5.2,0,new,2.484906649788
96886:11,no,6.4,0,med,2.56494935746154
9967:56,no,5.6,0,new,2.83321334405622
97989:5,yes,4.9,1,med,2.83321334405622
2345:39,no,6.2,0,new,3.43398720448515
113850:63,no,5.6,0,new,3.52636052461616
82800:12,no,6.1,0,new,2.94443897916644
116717:11,no,6.5,0,med,2.39789527279837
20142:232,no,6.2,0,new,4.00733318523247
171282:63,no,6.1,0,new,3.71357206670431
1939:10,no,5.8,0,new,3.36729582998647
11991:7,yes,4.1,1,old,2.77258872223978
134021:50,yes,5.7,1,med,3.89182029811063
15332:88,no,6.4,0,med,3.29583686600433
145355:18,no,6.5,0,new,2.63905732961526
65999:146,yes,4.5,0,med,4.04305126783455
137619:16,no,5.6,0,new,1.94591014905531
161653:6,no,4.5,1,med,2.484906649788
126165:57,yes,4.1,0,med,2.83321334405622
148538:10,no,6.8,0,med,1.6094379124341
103624:72,no,6.1,0,med,2.94443897916644
155962:19,yes,5.4,1,med,2.99573227355399
138291:103,yes,6,0,med,4.04305126783455
7267:12,no,5.8,0,med,1.6094379124341
112156:136,yes,5.8,0,old,3.36729582998647
32005:38,no,5.9,0,med,3.46573590279973
90995:20,yes,5.6,0,old,1.79175946922805
107909:42,yes,6.3,0,old,2.70805020110221
78585:7,yes,4,1,med,2.484906649788
94633:27,yes,5,0,med,3.09104245335832
164050:47,no,6,0,new,3.09104245335832
65989:12,no,6.2,0,new,1.6094379124341
109644:34,no,4.1,0,old,2.30258509299405
35565:48,no,6.1,0,med,3.17805383034795
47226:12,no,6,0,med,2.99573227355399
98248:22,no,6.5,0,med,2.484906649788
30428:73,no,5.6,0,old,2.83321334405622
40634:72,yes,5.3,0,old,3.2188758248682
23510:57,yes,4.7,0,med,2.63905732961526
121569:26,yes,5,0,med,2.39789527279837
172264:114,no,6,0,med,3.36729582998647
161396:28,no,5.7,1,old,2.39789527279837
5366:34,no,5.8,0,new,3.13549421592915
12111:78,no,5.9,0,new,3.40119738166216
73491:25,yes,5.7,0,med,3.55534806148941
164075:14,no,5.9,0,new,2.30258509299405
121793:107,no,6.5,0,new,3.43398720448515
53913:6,no,3.3,1,med,2.39789527279837
130087:11,yes,4.1,1,new,2.39789527279837
15291:54,no,5.6,0,med,2.99573227355399
66765:5,yes,5.3,1,med,2.39789527279837
63606:10,yes,6.1,1,old,2.56494935746154
134420:14,no,6.5,0,new,2.30258509299405
74234:44,no,5.9,0,med,4.07753744390572
105896:51,no,6.2,0,med,2.94443897916644
171124:6,yes,5.4,1,old,2.19722457733622
19728:11,no,6.3,1,new,3.3322045101752
129583:26,no,5.6,0,med,2.19722457733622
28711:26,yes,5.4,1,med,2.77258872223978
110359:35,no,6.4,0,med,2.99573227355399
43673:87,yes,5.3,0,new,3.25809653802148
102546:21,yes,4.7,0,med,2.19722457733622
175724:80,no,6.5,0,new,3.13549421592915
158966:17,yes,4.4,0,med,2.63905732961526
74757:171,no,6.6,0,new,3.78418963391826
126460:28,no,4.7,0,med,2.30258509299405
62437:24,no,6,0,med,2.19722457733622
56101:53,yes,6.1,0,med,3.13549421592915
53610:9,no,6.3,0,med,1.09861228866811
13087:15,yes,5.1,1,med,3.04452243772342
76785:80,no,6,0,new,2.89037175789616
142147:41,no,6.1,0,med,2.484906649788
24418:16,no,6.3,0,med,1.79175946922805
6686:61,no,6.5,0,med,3.36729582998647
72579:15,no,4.5,0,med,2.19722457733622
70670:14,no,5.9,0,med,1.94591014905531
134426:23,no,6.4,0,new,2.94443897916644
8865:47,no,6.5,0,med,3.04452243772342
55933:33,no,5.7,0,new,2.56494935746154
176952:43,no,5.6,0,new,2.63905732961526
136193:24,no,6,0,new,2.94443897916644
177474:15,no,6.2,0,new,2.30258509299405
150826:22,no,5.2,0,med,2.63905732961526
108790:55,no,6.4,0,new,3.09104245335832
142499:11,no,6.5,0,med,2.70805020110221
155027:11,no,6.1,0,med,2.30258509299405
11568:18,no,6.1,0,new,2.39789527279837
142849:33,no,5.7,0,med,2.70805020110221
97106:20,no,4.7,0,new,1.79175946922805
3209:48,no,4.9,0,med,2.39789527279837
80299:13,no,6.5,0,med,3.04452243772342
122893:11,no,5.6,0,med,1.94591014905531
95645:100,no,5.5,0,new,3.63758615972639
153721:83,no,5,0,med,3.55534806148941
163188:16,no,6.7,0,new,2.83321334405622
64969:34,no,6.5,0,med,2.56494935746154
15903:5,yes,5.3,1,med,3.04452243772342
22630:77,yes,4.6,0,med,3.43398720448515
79355:11,no,5.7,0,new,2.63905732961526
164038:17,no,5.2,0,med,1.94591014905531
168216:15,no,6.4,0,new,2.39789527279837
26819:29,no,6.2,0,old,3.2188758248682
148355:8,yes,4.7,1,old,2.70805020110221
172629:33,no,5.3,0,new,3.8286413964891
138142:20,no,6.4,0,new,2.07944154167984
103194:37,yes,5.1,0,new,2.94443897916644
177013:13,no,6.1,0,new,2.56494935746154
33002:13,no,6,0,med,2.484906649788
168569:28,no,4,1,med,3.25809653802148
151077:31,no,5.2,0,med,2.83321334405622
56897:6,no,3.3,1,med,1.6094379124341
166177:13,no,5.8,0,med,2.63905732961526
86100:21,no,5.4,0,new,2.19722457733622
70612:21,no,6.4,0,new,1.94591014905531
116495:21,no,5.1,0,med,1.94591014905531
26977:14,no,6.1,0,med,2.30258509299405
39190:38,no,6.4,0,med,2.07944154167984
169028:53,no,6.5,0,med,2.63905732961526
175702:23,yes,5.9,1,old,3.71357206670431
127596:32,no,6.3,0,med,1.79175946922805
164095:28,no,5.9,0,new,2.89037175789616
147477:43,no,4.7,0,med,2.56494935746154
101121:88,no,6.3,0,med,3.40119738166216
103644:84,yes,4.6,0,med,3.09104245335832
161001:72,no,6.1,0,new,2.39789527279837
31180:58,no,6,0,med,4.02535169073515
171692:24,no,6.4,0,med,2.56494935746154
145552:67,no,5.7,0,new,2.56494935746154
128104:24,no,6.4,0,new,3.04452243772342
103911:47,no,5.1,0,med,3.25809653802148
23861:130,no,5.9,0,new,4.04305126783455
164770:133,yes,5.3,0,new,3.73766961828337
78614:111,yes,5.6,0,med,3.46573590279973
37768:13,no,6.4,0,med,1.79175946922805
89437:12,no,5.9,0,med,1.6094379124341
32931:10,no,6.2,0,med,1.94591014905531
156697:32,no,5.2,0,med,1.94591014905531
53912:14,no,3.1,1,med,2.484906649788
4795:25,yes,4.1,1,med,2.77258872223978
31080:8,yes,4,1,old,3.36729582998647
127919:39,yes,5.2,0,med,2.77258872223978
174160:14,no,5.9,0,new,2.07944154167984
47855:7,yes,3.5,1,med,2.39789527279837
57643:110,yes,6,0,med,3.61091791264422
78212:39,yes,4.9,0,med,2.77258872223978
6686:28,yes,4.8,0,new,3.36729582998647
92249:38,no,6.1,0,new,2.484906649788
9486:4,no,4.4,1,old,2.70805020110221
25479:56,no,5.9,1,new,2.83321334405622
9970:53,no,6.2,0,med,3.04452243772342
153227:28,no,4.8,1,med,2.83321334405622
171919:12,no,6.5,0,new,3.46573590279973
148200:15,no,5.4,0,med,1.94591014905531
85252:8,yes,5.5,1,new,3.09104245335832
161185:14,no,6.4,0,med,1.94591014905531
60333:19,no,6.3,0,med,2.63905732961526
22018:5,yes,5.5,1,old,1.6094379124341
134033:13,yes,4.7,0,med,2.07944154167984
93477:92,no,6.4,0,new,3.3322045101752
2335:27,no,5.9,0,med,3.04452243772342
43837:14,no,6.4,1,new,2.484906649788
60926:36,no,6.3,0,new,3.17805383034795
11929:60,yes,5.8,0,med,3.09104245335832
38936:13,no,6.3,0,med,1.94591014905531
161106:35,no,5,0,new,2.30258509299405
132696:166,no,6.1,0,new,4.43081679884331
22933:25,no,5.9,0,med,2.19722457733622
48582:11,no,6.1,0,new,1.94591014905531
13056:42,yes,5.1,0,med,2.39789527279837
125903:18,no,6.6,0,med,3.04452243772342
174932:42,no,6.3,1,med,3.17805383034795
56683:20,no,6.7,0,new,2.39789527279837
154094:15,yes,4.4,1,med,2.89037175789616
55028:10,yes,5.3,1,old,1.6094379124341
28734:50,no,6.8,0,new,3.04452243772342
131722:36,no,6.5,0,new,2.94443897916644
164259:34,yes,4.6,0,new,2.484906649788
74649:24,no,5.1,0,new,2.39789527279837
132933:5,yes,4.2,1,med,3.09104245335832
120456:22,no,5.9,0,old,2.07944154167984
170188:13,no,5.7,0,med,2.484906649788
12194:43,no,5.9,0,new,2.63905732961526
113793:23,no,5.9,1,med,2.77258872223978
134479:41,yes,5.3,0,old,2.70805020110221
161487:13,no,6.3,0,med,2.484906649788
80499:4,no,4.6,1,med,2.19722457733622
158511:44,no,6.3,0,new,2.30258509299405
15870:42,no,6.4,0,med,2.94443897916644
120455:20,no,6.5,0,new,2.56494935746154
56417:25,no,6.2,0,med,2.07944154167984
55920:12,no,5.8,0,new,2.30258509299405
145722:97,yes,5.8,1,med,3.25809653802148
115916:39,no,5.9,0,med,3.3322045101752
27507:15,no,5.9,0,med,2.63905732961526
171283:28,no,6,0,med,2.30258509299405
155408:25,no,5.7,0,med,2.07944154167984
147340:7,yes,4.4,1,old,2.63905732961526
116940:96,no,5.9,0,new,3.40119738166216
159146:13,yes,5.4,1,new,3.61091791264422
171283:17,no,5.7,0,med,2.30258509299405
2454:46,no,5.9,0,med,3.40119738166216
22799:53,no,6.3,0,new,3.43398720448515
166169:26,yes,4.3,1,med,3.17805383034795
146091:18,no,5.5,0,med,1.79175946922805
161668:20,no,4.5,1,med,2.63905732961526
74580:17,no,6,0,new,1.79175946922805
30391:26,yes,6,0,old,2.484906649788
30872:58,no,5.6,0,new,2.89037175789616
168576:39,no,5.2,0,med,3.09104245335832
104255:44,yes,5.6,0,med,2.484906649788
30987:12,no,5.5,0,med,2.07944154167984
141909:6,no,5.4,1,old,1.94591014905531
9455:69,no,6.6,0,med,3.43398720448515
140415:37,no,6.2,0,med,2.89037175789616
86455:28,no,6.8,0,med,2.19722457733622
112637:73,no,6,0,new,2.94443897916644
1214:19,yes,4.3,0,old,3.09104245335832
21123:14,yes,4.3,1,med,2.63905732961526
22656:29,no,6.1,0,new,2.39789527279837
130807:72,yes,4,0,med,3.25809653802148
157516:9,no,6.3,0,med,3.73766961828337
97584:19,no,6.3,0,med,2.30258509299405
29227:52,no,5.9,0,med,2.39789527279837
95651:89,no,4.3,0,med,2.77258872223978
126348:16,no,5.8,0,med,3.49650756146648
110384:95,no,6.1,1,med,3.85014760171006
164345:22,no,4.8,0,new,2.30258509299405
19474:11,no,6.5,0,new,2.07944154167984
31480:39,no,5.5,1,med,2.83321334405622
78294:14,no,5.5,0,med,1.94591014905531
57998:87,yes,5.6,0,med,4.12713438504509
44952:36,yes,5.6,0,med,2.30258509299405
92394:53,yes,5.9,0,new,3.2188758248682
79761:35,no,6,0,new,2.39789527279837
112058:22,yes,5.6,0,med,3.85014760171006
155521:29,yes,5.2,0,old,2.30258509299405
87654:14,yes,5.3,1,med,3.09104245335832
41388:61,yes,5.4,0,old,3.3322045101752
32577:19,no,6.5,0,med,3.04452243772342
29678:24,yes,5.3,0,med,2.19722457733622
85881:104,no,6.5,0,new,3.43398720448515
109712:50,no,5.9,0,new,3.36729582998647
139879:19,no,6.3,0,med,2.39789527279837
97813:26,no,5.9,0,med,2.484906649788
156465:52,no,6.3,0,new,2.99573227355399
170859:54,no,5.8,0,new,2.89037175789616
31279:10,no,5.4,0,med,2.39789527279837
121757:115,no,5.9,0,med,4.07753744390572
39653:15,no,6.6,0,new,2.19722457733622
6581:42,no,5.9,0,med,2.89037175789616
156671:38,yes,4.1,0,old,3.40119738166216
63704:23,no,5.7,0,med,2.07944154167984
146662:13,no,6.4,0,new,2.39789527279837
20307:42,no,6.2,0,med,2.77258872223978
81221:70,yes,4.9,0,old,2.70805020110221
95645:41,yes,5.4,0,new,3.63758615972639
146544:24,no,6.1,0,new,3.91202300542815
136383:15,no,6.1,0,new,2.19722457733622
81838:54,yes,5.2,0,med,2.83321334405622
160994:25,no,6.2,0,med,2.30258509299405
83056:37,no,5.7,0,new,3.25809653802148
97004:103,no,6.4,0,new,3.25809653802148
15155:80,no,6.2,0,new,3.04452243772342
30504:13,no,5.5,0,med,2.30258509299405
39049:23,no,5.3,0,new,2.39789527279837
84185:16,no,6.4,0,med,1.79175946922805
24056:22,no,5.2,0,med,2.56494935746154
135381:35,yes,5.7,0,med,2.70805020110221
155741:63,yes,4.9,0,med,2.89037175789616
67111:87,yes,5.7,0,med,3.25809653802148
20734:79,no,5.5,0,med,2.89037175789616
149904:6,no,6.1,0,new,1.6094379124341
118753:13,no,5.6,0,new,3.04452243772342
117354:63,yes,5.7,1,old,3.3322045101752
72832:14,no,6.3,0,new,2.484906649788
129171:26,yes,4.8,0,new,2.39789527279837
56317:78,no,6.4,0,med,3.04452243772342
91286:72,no,6.4,0,new,3.09104245335832
146901:36,no,6.4,0,new,2.484906649788
129083:10,no,5.6,0,med,2.30258509299405
80278:17,yes,5.3,1,med,3.04452243772342
130276:4,no,3.3,1,old,0.693147180559945
15749:21,no,6.5,0,new,2.56494935746154
63108:7,yes,4.5,1,old,2.39789527279837
95586:13,no,5.7,0,new,1.79175946922805
36621:7,yes,5.4,1,old,1.94591014905531
107709:28,yes,5.7,0,med,2.83321334405622
138943:28,no,6.2,0,med,2.99573227355399
112498:14,no,6.1,0,new,1.79175946922805
36613:5,yes,5.6,1,old,1.79175946922805
11767:21,no,6.3,0,med,2.30258509299405
38898:13,yes,4.5,0,old,1.79175946922805
35576:25,no,6.4,0,new,2.19722457733622
114610:10,no,6.4,0,med,2.30258509299405
121757:169,no,5.9,0,new,4.07753744390572
1843:22,no,6.6,0,med,2.83321334405622
56109:69,no,5.6,1,med,3.25809653802148
155092:75,no,4.9,0,med,3.63758615972639
126761:25,no,4.8,0,new,2.484906649788
177328:13,no,6.7,0,med,2.19722457733622
13977:49,no,6.4,0,med,3.04452243772342
176960:92,no,6.5,0,new,3.66356164612965
55386:25,yes,4.7,0,old,2.484906649788
170740:34,no,5.2,0,new,2.484906649788
38927:18,no,6.2,0,med,2.07944154167984
169939:81,no,5.6,0,med,3.09104245335832
126761:30,no,5.4,1,med,2.484906649788
156938:9,no,4.9,0,med,1.6094379124341
31278:24,no,5.6,0,new,2.30258509299405
10841:72,no,6.1,0,new,2.89037175789616
16319:19,no,6.8,0,old,1.79175946922805
75552:115,yes,6.1,0,med,3.68887945411394
56842:9,no,3.2,0,med,1.79175946922805
53389:28,no,5.5,0,med,2.30258509299405
130958:7,yes,6.2,1,old,1.94591014905531
108790:33,yes,5.2,1,old,3.09104245335832
166774:13,yes,4.8,0,new,2.99573227355399
30001:7,no,5.6,0,med,3.09104245335832
163414:55,no,5.6,0,new,2.30258509299405
94780:11,no,4.6,1,med,1.6094379124341
8866:65,no,6,0,new,3.8286413964891
122706:39,no,5,0,med,2.77258872223978
111758:13,no,6.6,0,med,2.19722457733622
90051:29,no,5.8,0,old,2.19722457733622
35130:35,no,5.5,0,med,2.07944154167984
2199:135,no,5.8,0,old,4.4188406077966
72090:7,yes,4.1,1,old,1.94591014905531
134176:70,yes,6.3,0,old,3.55534806148941
109394:16,yes,5.2,1,med,2.70805020110221
47430:120,no,6.5,0,new,3.58351893845611
34149:38,no,6.4,0,med,2.89037175789616
132454:18,yes,5.2,0,new,2.07944154167984
107258:36,no,6.1,0,med,3.3322045101752
102016:6,no,6.4,0,new,1.38629436111989
99170:29,yes,5.4,1,med,2.56494935746154
158120:17,no,4.9,1,new,3.87120101090789
89068:107,no,5.9,0,med,3.52636052461616
131517:11,yes,5,0,med,2.83321334405622
96870:36,yes,5.7,0,new,2.99573227355399
94784:6,no,4.2,1,med,1.38629436111989
51562:11,no,5.8,0,new,2.19722457733622
13347:26,no,6.6,0,med,3.68887945411394
24192:41,no,4.2,0,med,2.56494935746154
58962:27,yes,3.4,0,med,2.63905732961526
147337:25,no,5.7,0,med,2.56494935746154
50706:31,yes,6.2,1,med,3.40119738166216
135016:25,no,6,0,new,2.70805020110221
38792:27,no,6.7,0,med,2.39789527279837
149736:22,no,6,0,new,2.39789527279837
13059:11,yes,5.5,0,old,1.6094379124341
95345:10,no,5,0,new,2.30258509299405
97320:78,no,6.7,0,med,3.04452243772342
42183:38,no,4.7,1,med,2.484906649788
45067:40,no,5.2,0,med,2.77258872223978
7361:10,no,5.4,0,med,1.94591014905531
59953:42,yes,6.1,0,old,2.89037175789616
152359:98,no,5.7,0,med,3.2188758248682
161018:14,no,4.5,1,med,2.70805020110221
129179:18,yes,4.7,1,med,2.19722457733622
39025:60,yes,5.4,0,med,2.89037175789616
66763:14,yes,3.9,1,med,2.484906649788
127011:17,yes,5.4,0,med,3.17805383034795
101025:37,no,5.8,0,med,2.77258872223978
131523:14,no,6.4,0,med,2.56494935746154
13424:16,yes,4.9,1,med,2.63905732961526
151338:21,no,5.4,0,med,2.56494935746154
122792:22,no,5.8,0,new,2.70805020110221
39625:37,no,6.7,0,new,3.43398720448515
43046:79,yes,5.3,0,med,3.40119738166216
164185:22,no,6,0,new,2.19722457733622
70851:34,no,6.1,0,new,2.30258509299405
91333:59,no,6.5,0,med,3.95124371858143
159281:32,no,6.4,0,new,2.70805020110221
4008:21,yes,4.5,0,med,2.19722457733622
4457:24,yes,5.2,0,old,2.19722457733622
167015:43,no,6.2,0,med,2.99573227355399
67607:18,no,5.5,0,med,1.79175946922805
55892:50,yes,5.2,0,old,2.83321334405622
87190:11,yes,4.7,0,med,2.30258509299405
142780:82,no,5.5,0,med,2.94443897916644
2006:5,yes,4.9,1,old,1.09861228866811
163703:15,yes,5.6,1,old,2.63905732961526
7282:17,no,6.2,0,new,2.07944154167984
157519:107,yes,4.8,0,med,4.15888308335967
127350:66,no,6.2,0,med,2.30258509299405
106267:29,no,5.6,0,new,2.30258509299405
143543:20,no,6.3,0,med,3.58351893845611
75025:28,no,4.9,0,med,2.30258509299405
169902:90,yes,5.4,1,med,3.46573590279973
69673:14,no,5.8,0,med,2.39789527279837
42623:15,yes,5.6,1,new,3.09104245335832
169857:78,no,6.1,0,new,3.95124371858143
84633:31,yes,4.4,1,med,2.63905732961526
123034:17,yes,5.6,1,med,2.39789527279837
32942:10,no,6.6,0,med,1.94591014905531
39035:20,no,6.1,0,med,2.07944154167984
20045:19,yes,5.1,0,old,2.07944154167984
66700:13,no,4.8,1,med,2.99573227355399
108757:10,yes,2.6,1,old,1.6094379124341
